Rule,Irule,Redireccionamiento
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.MS.SurgicalProgramming"" $uri]}",pool POOL_Casiopea.MS.SurgicalProgramming_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Push.Service"" $uri]}",pool POOL_Casiopea.Push.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Recomendations.Service"" $uri]}",pool POOL_Casiopea.Recomendations.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Report.Service.Pub"" $uri]}",pool POOL_Casiopea.Report.Service.Pub_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Report.Web.Pub"" $uri]}",pool POOL_Casiopea.Report.Web.Pub_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.Security.Service"" $uri]}",pool POOL_Casiopea.Security.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.TimeStamp"" $uri]}",pool POOL_Casiopea.TimeStamp_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.TOTP.Service"" $uri]}",pool POOL_Casiopea.TOTP.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.VideoCall.Service"" $uri]}",pool POOL_Casiopea.VideoCall.Service_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Service.ManagerUnhandledEvents"" $uri]}",pool POOL_Service.ManagerUnhandledEvents_hce_cluster3_http
/Common/http_request_casioserviceshcecl3,"{[string match ""/Casiopea.WorkFlow.Gateway"" $uri]}",pool POOL_Casiopea.WorkFlow.Gateway_hce_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.BI.Service"" $uri]}",pool POOL_Casiopea.BI.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Drawing.Service"" $uri]}",pool POOL_Casiopea.Drawing.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Report.Web"" $uri]}",pool POOL_Report.Web_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Report.Service"" $uri]}",pool  POOL_Casiopea.Report.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Push.Service"" $uri]}",pool POOL_Casiopea.Push.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Notifications.Service"" $uri]}",pool POOL_Casiopea.Notifications.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Service.ManagerUnhandledEvents"" $uri]}",pool POOL_Service.ManagerUnhandledEvents_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.TOTP.Service"" $uri]}",pool POOL_Casiopea.TOTP.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.TimeZone.Service.C3"" $uri]}",pool POOL_Casiopea.TimeZone.Service.C3cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Media.Service"" $uri]}",pool POOL_Casiopea.Media.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.CopyPaste.Service"" $uri]}",pool POOL_Casiopea.CopyPaste.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Box.Service"" $uri]}",pool POOL_Casiopea.Box.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.ApiGateway.Recomendations"" $uri]}",pool POOL_Casiopea.ApiGateway.Recomendations_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Mobility.Api.Gateway"" $uri]}",pool POOL_Casiopea.Mobility.Api.Gateway_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Api"" $uri]}",pool POOL_Casiopea.Api_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Aggregator.Service"" $uri]}",pool POOL_Casiopea.Aggregator.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Audit.Service"" $uri]}",pool POOL_Casiopea.Audit.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Mobility.User.Service"" $uri]}",pool POOL_Casiopea.Mobility.User.Service_cluster3_http
/Common/http_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Security.Service"" $uri]}",pool POOL_Casiopea.Security.Service_cluster3_http
/Common/http_request_webapi-casiopeaplushiscl3.idc.loca,"{[string tolower [HTTP::uri]] contains ""/webapi-casiopeaplushiscl3.idc.local""}",pool POOL_webapi-casiopeaplushiscl3.idc.local_https
/Common/https_request_HCE.Services,"{[string tolower [HTTP::uri]] contains ""/hce.services""}",pool POOL_HCE.Services_https
/Common/https_request_WebApi,"{[string tolower [HTTP::uri]] contains ""/webapi-casiopeaplushcecl3.idc.local""}",pool POOL_WebApi_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.ClinicalReport.Service*"" $uri]}",pool POOL_Casiopea.ClinicalReport.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.ElectronicPrivatePrescription.Service*"" $uri]}",pool POOL_Casiopea.ElectronicPrivatePrescription.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Form.Service*"" $uri]}",pool POOL_Casiopea.Form.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.HospitalPorter.Service*"" $uri]}",pool POOL_Casiopea.HospitalPorter.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.InformedConsents.Service*"" $uri]}",pool POOL_Casiopea.InformedConsents.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Episodes.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Episodes.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.History.Service*"" $uri]}",pool POOL_Casiopea.Mobility.History.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Notes.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Notes.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Orders.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Orders.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Patients.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Patients.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Mobility.Prescriptions.Service*"" $uri]}",pool POOL_Casiopea.Mobility.Prescriptions.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.NursingTasks.Service*"" $uri]}",pool POOL_Casiopea.NursingTasks.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Rehabilitation.Service*"" $uri]}",pool POOL_Casiopea.Rehabilitation.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.Surgery.Service*"" $uri]}",pool POOL_Casiopea.Surgery.Service_hce_cluster3_https
/Common/https_request_casiopeamshcecl3,"{[string match ""*Casiopea.WebDialog.Service*"" $uri]}",pool POOL_Casiopea.WebDialog.Service_hce_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Api.Gateway"" $uri]}",pool POOL_Casiopea.Api.Gateway_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.ClinicalReport.Service"" $uri]}",pool POOL_Casiopea.ClinicalReport.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.CMBD.Service"" $uri]}",pool POOL_Casiopea.CMBD.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Configuration.Service"" $uri]}",pool POOL_Casiopea.Configuration.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.ElectronicPrivatePrescription.Service"" $uri]}",pool POOL_Casiopea.ElectronicPrivatePrescription.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Facturacion.Service"" $uri]}",pool POOL_Casiopea.Facturacion.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Form.Service"" $uri]}",pool POOL_Casiopea.Form.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Formulas.Service"" $uri]}",pool POOL_Casiopea.Formulas.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.InformedConsents.Service"" $uri]}",pool POOL_Casiopea.InformedConsents.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Episodes.Service"" $uri]}",pool POOL_Casiopea.Mobility.Episodes.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.History.Service"" $uri]}",pool POOL_Casiopea.Mobility.History.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Notes.Service"" $uri]}",pool POOL_Casiopea.Mobility.Notes.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Orders.Service"" $uri]}",pool POOL_Casiopea.Mobility.Orders.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Patients.Service"" $uri]}",pool POOL_Casiopea.Mobility.Patients.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Mobility.Prescriptions.Service"" $uri]}",pool POOL_Casiopea.Mobility.Prescriptions.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.MS.DefinitionTaskPathway"" $uri]}",pool POOL_Casiopea.MS.DefinitionTaskPathway_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.NursingTasks.Service"" $uri]}",pool POOL_Casiopea.NursingTasks.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Reports.Service"" $uri]}",pool POOL_Casiopea.Reports.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.Surgery.Service"" $uri]}",pool POOL_Casiopea.Surgery.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Casiopea.WebDialog.Service"" $uri]}",pool POOL_Casiopea.WebDialog.Service_cluster3_https
/Common/https_request_casiopeamshiscl3,"{[string match ""/Service.Caching"" $uri]}",pool POOL_Service.Caching_cluster3_https
/Common/https_request_casiopeaplushcecl3.idc.local,"{[string match ""/hce.services"" $uri]}",pool POOL_HCE.Services_https
/Common/https_request_casiopeaplushcecl3.idc.local,"{[string match ""/WebApi"" $uri]}",pool POOL_WebApi_https
/Common/https_request_casiopeaplushiscl3,"{[string tolower [HTTP::uri]] contains ""/casiopeaplushiscl3_services""}",pool POOL_casiopeaplushiscl3_services_https
/Common/https_request_casiopeaplushiscl3.idc.local,"{[string match ""/hce.services"" $uri]}",pool POOL_casiopeaplushiscl3_services_https
/Common/https_request_casiopeaplushiscl3.idc.local,"{[string match ""/webapi-casiopeaplushiscl3.idc.local"" $uri]}",pool POOL_webapi-casiopeaplushiscl3.idc.local_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Aggregator.Service"" $uri]}",pool  POOL_Casiopea.Aggregator.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Alerts.Service"" $uri]}",pool POOL_Casiopea.Alerts.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.ApiGateway.Recomendations"" $uri]}",pool POOL_Casiopea.ApiGateway.Recomendations_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Audit.Service"" $uri]}",pool  POOL_Casiopea.Audit.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.BI.Service"" $uri]}",pool POOL_Casiopea.BI.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Drawing.Service"" $uri]}",pool POOL_Casiopea.Drawing.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Identity.Server.Service"" $uri]}",pool POOL_Casiopea.Identity.Server.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.IssueRegister.Service"" $uri]}",pool POOL_Casiopea.IssueRegister.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Media.Service"" $uri]}",pool POOL_Casiopea.Media.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Mobility.Api.Gateway"" $uri]}",pool POOL_Casiopea.Mobility.Api.Gateway_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Mobility.User.Service"" $uri]}",pool POOL_Casiopea.Mobility.User.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.MS.SurgicalProgramming"" $uri]}",pool POOL_Casiopea.MS.SurgicalProgramming_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Push.Service"" $uri]}",pool POOL_Casiopea.Push.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Recomendations.Service"" $uri]}",pool POOL_Casiopea.Recomendations.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Report.Service.Pub"" $uri]}",pool POOL_Casiopea.Report.Service.Pub_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Report.Web.Pub"" $uri]}",pool  POOL_Casiopea.Report.Web.Pub_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.Security.Service"" $uri]}",pool POOL_Casiopea.Security.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.TimeStamp"" $uri]}",pool POOL_Casiopea.TimeStamp_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.TOTP.Service"" $uri]}",pool POOL_Casiopea.TOTP.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.VideoCall.Service"" $uri]}",pool POOL_Casiopea.VideoCall.Service_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Service.ManagerUnhandledEvents"" $uri]}",pool POOL_Service.ManagerUnhandledEvents_hce_cluster3_https
/Common/https_request_casioserviceshcecl3,"{[string match ""/Casiopea.WorkFlow.Gateway"" $uri]}",pool POOL_Casiopea.WorkFlow.Gateway_hce_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.BI.Service"" $uri]}",pool  POOL_Casiopea.BI.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Drawing.Service"" $uri]}",pool POOL_Casiopea.Drawing.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Report.Web"" $uri]}",pool POOL_Report.Web_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Report.Service"" $uri]}",pool  POOL_Casiopea.Report.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Push.Service"" $uri]}",pool POOL_Casiopea.Push.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Notifications.Service"" $uri]}",pool POOL_Casiopea.Notifications.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Service.ManagerUnhandledEvents"" $uri]}",pool POOL_Service.ManagerUnhandledEvents_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.TOTP.Service"" $uri]}",pool POOL_Casiopea.TOTP.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.TimeZone.Service.C3"" $uri]}",pool POOL_Casiopea.TimeZone.Service.C3cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Media.Service"" $uri]}",pool POOL_Casiopea.Media.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.CopyPaste.Service"" $uri]}",pool POOL_Casiopea.CopyPaste.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Box.Service"" $uri]}",pool POOL_Casiopea.Box.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.ApiGateway.Recomendations"" $uri]}",pool POOL_Casiopea.ApiGateway.Recomendations_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Mobility.Api.Gateway"" $uri]}",pool POOL_Casiopea.Mobility.Api.Gateway_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Api"" $uri]}",pool POOL_Casiopea.Api_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Aggregator.Service"" $uri]}",pool POOL_Casiopea.Aggregator.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Audit.Service"" $uri]}",pool POOL_Casiopea.Audit.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Mobility.User.Service"" $uri]}",pool POOL_Casiopea.Mobility.User.Service_cluster3_https
/Common/https_request_casioserviceshiscl3.idc.local,"{[string match ""/Casiopea.Security.Service"" $uri]}",pool POOL_Casiopea.Security.Service_cluster3_https
